0a	0:AH;1:EY
5o	0100:AA IY OW;010:AA OW
4n	10:IY M AH N
5d	01:AE N D
6ed	010:AE N D AH D;010:AE N D IH D
6ing	010:AE N D IH NG
9ly	0100:AE N D IH NG L IY
6s	01:AE N D Z
4r	01:AA R
5ais	100:EH M ER EY
6y	100:EH M ER EY
5cation	2010:EY SH AH N
bs	2010:EY SH AH N Z
6he	01:AA R CH
7i	010:AA R K IY
6o	010:AA R K OW
6us	100:EH M AA R K IH S
5ee	001:IY
6st	102:EH S T
5ia	0100:AA R IY AH
6nis	1000:EH M ER IH N IH S
7o	0010:IY N OW
6o	0100:AA R IY OW
6s	100:EH M ER IH S
5k	01:AA R K
5s	10:EH M ER Z
6h	10:EH M AA R SH
5tin	010:AA R T IH N
8i	0010:IY N IY
8o	0010:IY N OW
5y	100:EH M EH R IY
5zo	010:AA R Z OW
4s	10:IY M AH S
5i	010:AA S IY
5ters	100:IY M AE S T ER Z
4tteis	100:EH M AH T AY Z
7o	0100:AA T IY OW
6ia	010:AA SH AH
4uro	010:AO R OW
4y	10:EH M EY
5o	010:EY OW
3beck	12:EH K
4inski	010:IH N S K IY
4owski	010:AO F S K IY
4ski	10:EH M S K IY
4y	10:EH M B IY
3chak	10:EH M CH AH K
3ean	01:IY N
6ed	01:IY N D
6ing	010:IY N IH NG
6or	010:IY N ER
8s	010:IY N ER Z
7ur	010:IY N ER
9s	010:IY N ER Z
6s	01:IY N Z
4l	10:EH M AH L
5lo	010:EH L OW
5o	010:EH L OW
4nt	01:EH N T
6ed	010:EH N T IH D
6ia	0100:EH N SH IY AH
4o	100:IY M IY OW
4ree	100:EH M ER IY
5ger	010:ER JH ER
5ist	010:ER IH S T;100:EH M ER IH S T
8's	010:ER IH S T S
6t	010:EH R AH T
7s	010:EH R AH T S
7t	100:EH M ER IH T
5s	10:IY M ER Z
6e	10:EH M ER S
5y	010:ER IY
4sne	01:EY N
4ter	010:IY T ER
5re	010:IY T ER
6ia	0100:EH T R IY AH
7o	0100:EH T R IY OW
8u	0010:IY UW
7us	0100:IY T R IY AH S
4yer	100:EH M AY ER
3i	10:EH M IY
4's	10:EH M IY Z
4cco	010:IY K OW
5hael	100:EH M IH K EH L
6ele	100:EH M IH K AH L
5k	10:EH M IH K
4lio	0100:IY L IY OW
6tarization	0200010:EY SH AH N
be	01002:AY Z
cd	01002:AY Z D
cs	010020:AY Z IH Z
bing	010020:AY Z IH NG
5le	010:IY L IY;01:IH L
5o	010:IH L OW;010:AY L OW
4ng	10:EH M IH NG
5t	10:EY M IY N T
4rag	201:AA JH
5el	010:IH R AH L
5jian	0100:ER JH IY AH N
4sch	01:IH SH
5e	01:AY Z
5h	10:EH M IH SH
3janjuk	010:AA N Y UW K;010:AE N Y UW K
9's	010:AA N Y UW K S;010:AE N Y UW K S
3ko	10:EH M K OW
3ler	10:EH M L ER
3ma	10:IY M AH
4e	1:EH M
5r	10:EH M ER
4ing	10:EH M IH NG
4on	10:EH M AH N
6s	10:EH M AH N Z
3o	10:EH M OW
4bilization	020010:EY SH AH N
9e	0102:AY Z
ad	0102:AY Z D
as	01020:AY Z IH Z
9ing	01020:AY Z IH NG
4cracies	0100:AA K R AH S IY Z
8y	0100:AA K R AH S IY
9's	0100:AA K R AH S IY Z
7t	102:AE T
8's	102:AE T S
8ic	2010:AE T IH K
a's	2010:AE T IH K S
aa	20100:AE T IH K AH
blly	20100:AE T IH K L IY
as	2010:AE T IH K S
9zation	020010:EY SH AH N
ae	0102:AY Z
bd	0102:AY Z D
bs	01020:AY Z IH Z
aing	01020:AY Z IH NG
8s	102:AE T S
9'	102:AE T S
4dulate	2201:EY T
ad	22010:EY T AH D
as	2201:EY T S
9ion	22010:EY SH AH N
4grapher	0100:AA G R AH F ER
bs	0100:AA G R AH F ER Z
9ic	2010:AE F IH K
bally	20100:AE F IH K L IY
bs	2010:AE F IH K S
9y	0100:AA G R AH F IY
4lish	010:AA L IH SH
8ed	010:AA L IH SH T
9s	0100:AA L IH SH AH Z
8ing	0100:AA L IH SH IH NG
6tion	2010:IH SH AH N
4n	10:IY M AH N
5d	01:AA N D
5ic	010:AA N IH K
6zation	20010:EY SH AH N
7e	102:AY Z
8d	102:AY Z D
8r	1020:AY Z ER
8z	1020:AY Z IH Z
7ing	1020:AY Z IH NG
5s	10:IY M AH N Z
6trable	1000:EH M AH N S T R AH B AH L
by	0100:AA N S T R AH B L IY
9te	102:EY T
bd	1020:EY T IH D
bs	102:EY T S
aing	1020:EY T IH NG
bon	2010:EY SH AH N
ds	2010:EY SH AH N Z
bve	0100:AA N S T R AH T IH V
aor	1020:EY T ER
cs	1020:EY T ER Z
5t	10:EH M AH N T
6e	010:AA N T IY
4poulos	0100:AA P AH L IH S
4ralization	020010:EY SH AH N
9e	0102:AY Z
ad	0102:AY Z D
9ing	01020:AY Z IH NG
5e	10:EH M AO R
6st	010:AO R IH S T
5y	010:ER IY
6's	010:ER IY Z
4s	12:OW Z
5s	01:AA S
4te	01:OW T
6d	010:OW T IH D
5ion	010:OW SH AH N
8s	010:OW SH AH N Z
5t	01:AA T
4ulin	100:EH M UW L AE N
4v	10:EH M AA V
3pewolf	100:EH M P Y UW UH L F
4s	1:EH M P S
5ey	10:EH M P S IY
5ter	10:EH M P S T ER
3ski	10:EH M S K IY
5y	10:EH M S K IY
3ur	01:ER
5e	01:UH R
6ly	010:UH R L IY
5o	010:UH R OW
5red	01:ER D
6ing	010:ER IH NG
5s	01:ER Z
4s	10:IY M AH S
4th	10:IY M AH TH
3yan	10:EH M Y AH N
4stify	0102:AY
2n	1:EH N
3a	10:IY N AH
4poli	0100:AA P AH L IY
4rd	01:AA R D
6o	010:AA R D OW
5ii	010:AE R IY
6us	0100:AE R IY AH S
5o	010:AA R OW
4tale	0010:AA L IY
5ionalization	2200010:EY SH AH N
hs	0200010:EY SH AH N Z
ce	01002:AY Z
dd	01002:AY Z D
cing	010020:AY Z IH NG
5ure	010:EY CH ER
8d	010:EY CH ER D
4ult	01:OW
3bo	10:IY N B OW
5er	100:EH N B OW ER
5w	10:EH N B OW
4y	10:EH N B IY
3den	10:EH N D AH N
4inger	100:IY N D IH NG ER
4ritic	010:IH T IH K
5ochronology	220100:AA L AH JH IY
4y	10:EH N D IY
3eau	01:OW
6lt	01:OW
4en	01:IY N
4ke	10:EH N IH K;100:EH N IH K AH
4nberg	100:EH N AH N B ER G
4s	1:IY N Z
4uve	01:AH V
4ve	10:EH N IH V
3g	1:EH NG
4's	1:EH NG Z
4el	10:EH NG G AH L
4ler	100:IH NG AH L ER;10:IH NG L ER
4ue	1:EH N G
3ham	10:EH N AH M
5rt	12:AA R T
7og	100:EH N HH AA R T AH G
4erder	120:ER D ER
4olm	12:OW L M
3iability	020100:IH L IH T IY
5l	010:AY AH L
6s	010:AY AH L Z
4ce	01:IY S
5ola	0010:OW L AH
4ed	01:AY D
5s	01:AY Z
4grate	102:EY T
9d	1020:EY T IH D
8ing	1020:EY T IH NG
6is	100:EH N IH G R IH S
4ke	10:EH N IH K
4m	10:EH N AH M
4o	100:IY N IY OW
4ro	010:IH R OW
6's	010:IH R OW Z
4s	10:EH N IH S
5e	01:IY S
5on	100:EH N IH S AH N
7's	100:EH N IH S AH N Z
5ton	100:EH N IH S T AA N
4z	10:EY N IY Z
5en	100:EH N AH Z AH N
7s	100:EH N AH Z AH N Z
3k	1:EH NG K
4er	10:EH NG K ER
4i	10:EH NG K IY
5ns	10:EH NG K IH N Z
4o	10:EH NG K OW
4tas	10:EH NG K T AH S
3lea	12:IY
5y	10:EH N L IY
4inger	1000:EH N AH L IH NG ER;100:EH N L IH NG ER;100:EH N L IH N JH ER
3man	10:EH N M AH N
5rk	12:AA R K
7's	12:AA R K S
4on	10:EH N M AH N
3n	1:EH N
4ard	01:AA R D
4e	1:EH N
5hy	100:EH N IH HH IY
5n	10:EH N AH N
5r	10:EH N ER
5tt	10:EH N IH T
5y	10:EH N IY
4ie	10:EH N IY
5n	10:EH N IH N
6g	10:EH N IH NG
7er	100:EH N IH NG ER
7ton	100:EH N IH NG T AH N
5s	10:EH N IH S
6on	100:EH N IH S AH N
6ton	100:EH N IH S T AA N
4o	10:EH N OW
4y	10:EH N IY
5's	10:EH N IY Z
3o	10:IY N OW
4ble	100:EH N OW B AH L
4minate	0102:EY T
ad	01020:EY T IH D
9ion	02010:EY SH AH N
c's	02010:EY SH AH N Z
cal	020100:EY SH AH N AH L
cs	02010:EY SH AH N Z
9or	01020:EY T ER
5me	10:EH N AH M
4sse	01:OW S;010:AO S IY
4te	01:OW T
6d	010:OW T AH D
6s	01:OW T S
5ing	010:OW T IH NG
4uement	221:AA N
5nce	01:AW N S
8d	01:AW N S T
8s	010:AW N S IH Z
7ing	010:AW N S IH NG
4yer	100:EH N OY ER
3s	1:EH N Z
4ch	1:EH N SH
4e	1:EH N S
5ly	10:EH N S L IY
5r	10:EH N S ER
5st	10:EH N S AH S T
4hin	10:EH N SH IH N
4ities	100:EH N S AH T IY Z
6ometer	20100:AA M AH T ER
6y	100:EH N S AH T IY;100:EH N S IH T IY
4ley	10:EH N S L IY
5ow	12:OW
4more	10:IY N S M AO R;10:EH N S M AO R
4on	10:EH N S AH N
3t	1:EH N T
4al	10:EH N T AH L;10:EH N AH L
6s	10:EH N T AH L Z;10:EH N AH L Z
4e	12:EY
5d	10:EH N T IH D
4in	10:EH N T AH N
6e	10:EH N T IY N
6g	10:EH N T IH NG
6o	010:IY N OW
5st	10:EH N T AH S T;10:EH N T IH S T;10:EH N IH S T
7's	10:EH N T IH S T S
7ry	100:EH N T IH S T R IY;100:EH N IH S T R IY
7s	10:EH N T AH S T S;10:EH N T IH S T S
8'	10:EH N T IH S T S;10:EH N IH S T S
5tion	010:IH SH AH N
4ler	10:EH N T L ER
4on	10:EH N T AH N
4remont	010:EY M AA N T
4s	1:EH N T S
5u	10:EH N T S UW
4ton	10:EH N T AH N
4ure	10:EH N CH ER
7s	10:EH N CH ER Z
4zer	10:EH N T Z ER
3ucci	012:IY
5learization	0202010:EY SH AH N
bed	01002:AY Z D
4de	01:UW D
6d	010:UW D IH D
5ing	010:UW D IH NG
4nciation	02010:EY SH AH N
cs	02010:EY SH AH N Z
5zio	0100:AH N Z IY OW
3ver	10:EH N V ER
6's	10:EH N V ER Z
3wa	12:AA
3y	01:AY
4ing	010:AY IH NG
4s	12:IH S
5e	10:EH N AY S
3z	1:EH N Z
4el	10:EH N Z AH L
5r	10:EH N Z ER
4il	10:EH N Z AH L
4ler	10:EH N Z L ER
2o	10:IY OW
3dorant	0100:OW D ER AH N T
9s	0100:OW D ER AH N T S
3liveira	22012:AA
3n	10:IY AA N
4tological	200100:AA JH AH K AH L
9y	00100:AA L AH JH IY
3rbit	010:AO R B IH T
3xyribonucleic	02020010:EY IH K
2p	1:EH P
3ace	012:IY
4lma	010:AA L M AH
7's	010:AA L M AH Z
5o	012:OW
4ola	012:AA
6i	012:IY
7s	010:AW L IH S
6o	012:OW
4rdieu	201:AH;201:UW
5t	01:AA R T
6ed	010:AA R T IH D
6ing	010:AA R T IH NG
6ment	010:AA R T M AH N T
a's	010:AA R T M AH N T S
aal	0210:EH N AH L;0210:EH N T AH L
cize	02102:AY Z
fd	02102:AY Z D
fs	021020:AY Z IH Z
eing	021020:AY Z IH NG
as	010:AA R T M AH N T S
6s	01:AA R T S
6ure	010:AA R CH ER
9s	010:AA R CH ER Z
4scale	0010:AA L IY
5quale	0010:AA L IY
5s	01:AE S
4ul	01:AO L
6a	010:AO L AH
6o	010:AO L OW
5w	01:AW
4z	01:AE Z
3eche	01:EH SH
4nd	01:EH N D
6ability	020100:IH L IH T IY
8le	0100:EH N D AH B AH L
6ed	010:EH N D AH D;010:EH N D IH D
7nce	010:EH N D AH N S
9ies	0100:EH N D AH N S IY Z
9y	0100:EH N D AH N S IY
8t	010:EH N D AH N T
9s	010:EH N D AH N T S
6ing	010:EH N D IH NG
6s	01:EH N D Z
4rsonalize	01002:AY Z;0102:AY Z
4tro	010:EH T R OW
4w	01:UW
3hillips	100:EH F IH L IH P S;010:IH L IH P S
3ict	01:IH K T
6ed	010:IH K T AH D;010:IH K T IH D
6ing	010:IH K T IH NG
7on	010:IH K SH AH N
9s	010:IH K SH AH N Z
6s	01:IH K T S;01:IH K S
4etro	010:IY T R OW
4latory	01020:AO R IY
4na	010:IY N AH
5to	010:IY N T OW
3lete	01:IY T
7d	010:IY T IH D
7r	010:IY T ER
8s	010:IY T ER Z
7s	01:IY T S
6ing	010:IY T IH NG
7on	010:IY SH AH N
4orable	0100:AO R AH B AH L
6e	01:AO R
7d	01:AO R D
7s	01:AO R Z
6ing	010:AO R IH NG
5y	01:OY
6able	0100:OY AH B AH L
6ed	01:OY D
6ing	010:OY IH NG
6ment	010:OY M AH N T
as	010:OY M AH N T S
6s	01:OY Z
3ner	10:EH P N ER
3o	10:IY P OW;10:EH P OW
4lo	010:OW L OW
4nte	010:OW N T IY
4pulate	0102:EY T
9ion	02010:EY SH AH N;20010:EY SH AH N
4rt	01:AO R T
6ation	2010:EY SH AH N
bs	2010:EY SH AH N Z
6ed	010:AO R T AH D
7e	201:IY
8s	201:IY Z
6ing	010:AO R T IH NG
6ment	010:AO R T M AH N T
4se	01:OW Z
6d	01:OW Z D
5i	010:OW Z IY
6t	010:AA Z IH T;010:AA Z AH T
7ary	01020:EH R IY
7ed	0100:AA Z IH T IH D;0100:AA Z AH T AH D
7ing	0100:AA Z IH T IH NG
8on	2010:IH SH AH N
aal	20100:IH SH AH N AH L
as	2010:IH SH AH N Z
7or	0100:AA Z IH T ER
9's	0100:AA Z IH T ER Z
9s	0100:AA Z IH T ER Z
a'	0100:AA Z IH T ER Z
9y	01020:AO R IY
7s	010:AA Z IH T S;010:AA Z AH T S
4t	10:IY P OW
5's	10:IY P OW Z
5s	10:IY P OW Z
4y	10:EH P OY
3p	1:EH P
4e	1:EH P
5n	10:EH P AH N
3ravation	2010:EY SH AH N
6e	01:EY V
7d	01:EY V D
6ity	0100:AE V AH T IY
4ecate	102:EY T
9d	1020:EY T AH D
9s	102:EY T S
8ing	1020:EY T IH NG
6iable	0100:IH SH AH B AH L
8te	0102:EY T
ad	01020:EY T IH D
as	0102:EY T S
9ing	01020:EY T IH NG
aon	02010:EY SH AH N
cs	02010:EY SH AH N Z
5dation	2010:EY SH AH N
bs	2010:EY SH AH N Z
5e	01:IY
5nyl	102:IH L
5ss	01:EH S
7ant	010:EH S AH N T
as	010:EH S AH N T S
7ed	01:EH S T
8s	010:EH S AH Z;010:EH S IH Z
7ing	010:EH S IH NG
aly	0100:EH S IH NG L IY
8on	010:EH SH AH N
as	010:EH SH AH N Z
8ve	010:EH S IH V
7urize	0102:AY Z
cd	0102:AY Z D
cs	01020:AY Z IH Z
bing	01020:AY Z IH NG
5y	10:EH P R IY
5z	01:EH Z
4iest	1000:EH P ER IY IH S T;01:IY S T
5vation	2010:EY SH AH N
bs	2010:EY SH AH N Z
6e	01:AY V
7d	01:AY V D
7s	01:AY V Z
6ing	010:AY V IH NG
4ogram	010:OW G R AE M
9ming	0100:OW G R AE M IH NG
3th	1:EH P TH
5s	1:EH P TH S
4ula	010:UW L AH
3ue	01:UW
4ties	100:EH P Y AH T IY Z;100:EH P Y UW T IY Z
6ze	102:AY Z
8d	102:AY Z D
5y	100:EH P Y AH T IY;100:EH P Y UW T IY
4y	01:IY
2queker	010:EH K ER
2r	1:ER
3ail	01:EY L
6ed	01:EY L D
6ing	010:EY L IH NG
6ment	010:EY L M AH N T
as	010:EY L M AH N T S
6s	01:EY L Z
4mo	010:AA M OW
5us	100:EH R AH M IH S
4nge	01:EY N JH
7d	01:EY N JH D
4smo	010:AA S M OW
3by	10:ER B IY
5shire	102:ER
3chin	10:ER CH IH N
4ole	010:OW L IY
3den	10:ER D AH N
5rian	0100:IH R IY AH N
3ecktor	010:EH K T ER
4gt	01:EH K T
5ulate	0100:EH G Y AH L EY T
ad	01000:EH G Y AH L EY T IH D
9ing	01020:EY T IH NG
aon	02010:EY SH AH N
9or	01000:EH G Y AH L EY T ER
bs	01000:EH G Y AH L EY T ER Z
by	010020:AO R IY
4k	10:EH R IH K
5's	10:EH R IH K S
4lict	102:IH K T
8ion	2010:IH K SH AH N
8s	102:IH K T S;102:IH K S
4mer	100:EH R IY M ER
4n	10:IH R AH N
5zo	010:EH N Z OW
3flinger	1000:ER F AH L IH NG ER;100:ER F L IH NG ER
3ham	10:ER HH AH M
6mer	100:ER HH AH M ER
3ick	10:EH R IH K
6son	100:EH R IH K S AH N
4da	010:IY D AH
5der	100:EH R IH D ER
5e	01:AY D
6d	010:AY D IH D
6s	01:AY D Z
5ing	010:AY D IH NG
4enzo	010:IY N Z OW
4k	10:EH R IH K
4ng	10:IH R IH NG
6er	100:EH R IH N JH ER
6ton	100:ER IH NG T AH N
4se	10:EH R AY Z
5ion	010:IH ZH AH N
6ve	010:IH S IH V;010:AY S IH V
8ly	0100:IH S IH V L IY;0100:AY S IH V L IY
5o	010:IY S OW
4vation	2010:EY SH AH N
8ve	0100:IH V AH T IH V;0100:IH V IH T IH V
as	0100:IH V AH T IH V Z
5e	01:AY V
6d	01:AY V D
6s	01:AY V Z
5ing	010:AY V IH NG
3k	1:ER K
4s	1:ER K S
5en	10:ER K S AH N
3leth	10:ER L IH TH
3ma	10:ER M AH
5graph	100:ER M AH G R AE F
5l	10:ER M AH L
5n	10:ER M AH N
5titis	2010:AY T IH S
6ological	200100:AA JH IH K AH L
bst	20100:AA L AH JH IH S T
ds	20100:AA L AH JH IH S T S
ay	20100:AA L AH JH IY
4er	10:ER M ER
4is	10:ER M AH S
4ody	100:ER M AH D IY
5t	10:ER M AH T
6t	10:ER M AH T
3n	1:ER N
4er	10:ER N ER
3obertis	1000:EH R AH B ER T IH S
4cco	010:OW K OW
5he	10:EH R AH K
7r	100:EH R AH K ER
4gatory	01020:AO R IY
4o	10:EH R UW
5s	10:IH R UW Z
4sa	010:OW S AH
5e	10:EH R AH S
5ia	0100:OW S IY AH
6er	1000:EH R AH S IY ER
5sett	100:EH R AH S EH T
4uen	01:EH N
5in	01:IY N
5sse	01:UW S
4y	10:IH R OY
3r	1:EH R
4ick	10:EH R IH K
7son	100:EH R IH K S AH N
6o	010:IY K OW
5da	221:AA
5g	10:EH R IH G
5ng	10:EH R IH NG
7er	100:EH R AH N JH ER
7ton	100:EH R IH NG T AH N
4ow	10:EH R OW
4y	10:EH R IY
5berry	1020:EH R IY
3sch	1:ER SH
4hem	10:ER SH IH M
5owitz	102:IH T S
a's	1020:IH T S IH Z
4tine	10:ER S T IY N
3thick	10:ER TH IH K
3ubeis	100:EH R AH B AY Z
4iter	100:IH R IH T ER
4ko	010:UW K OW
4s	10:EH R IH S
5ha	100:EH R AH SH AH
4yter	100:IH R AY T ER
3vin	10:ER V IH N
5sh	10:ER V IH SH
7ich	100:ER V IH SH IH K
3ward	10:ER W ER D
4in	10:ER W IH N
6ski	010:IH N S K IY
3y	10:EH R IY
4ck	10:EH R IH K
4le	10:EH R AH L
2s	1:EH S;2:IH
3-moines	21:OY N
3ai	010:AA IY
4lination	02010:EY SH AH N
7ization	020010:EY SH AH N
5vo	010:AA L V OW
4nctis	010:AE NG K T IH S
5ti	010:AA N T IY
7ago	00010:AA G OW
7s	010:AA N T IH S
6o	010:AA N T OW
7s	010:AA N T OW Z
4ulniers	1000:EH S OW L N IY ER Z
5tel	100:EH S OW T AH L
8s	100:EH S OW T AH L Z
3carpentries	0100:AA R P AH N T R IY Z
6tes	01:AA R T
9's	01:AA R T S
4end	01:EH N D
7ant	010:EH N D AH N T
as	010:EH N D AH N T S;010:EH N IH N T S
7ed	010:EH N D AH D;010:EH N D IH D
8nt	010:EH N D AH N T
as	010:EH N D AH N T S
7ing	010:EH N D IH NG
7s	01:EH N D Z
6t	01:EH N T
7s	01:EH N T S
6za	010:EH N Z AH
4h	1:EH SH
5aine	01:EY N
6mps	10:EH SH AH M P S
5ene	10:EH SH IY N
8s	10:EH SH IY N Z
6pper	100:EH SH IH P ER
5ler	100:EH SH AH L ER;10:EH SH L ER
5ner	10:EH SH N ER
4oteaux	100:EH S K AH T OW
4ribable	0100:AY B AH B AH L
7e	01:AY B
8d	01:AY B D
8s	01:AY B Z
7ing	010:AY B IH NG
6ption	010:IH P SH AH N
bs	010:IH P SH AH N Z
9ve	010:IH P T IH V
8or	012:ER
as	012:ER Z
5y	01:AY
3ecrate	001:EY T
9d	0010:EY T IH D
9s	001:EY T S
8ion	0010:EY SH AH N
bs	0010:EY SH AH N Z
4gregate	0102:EY T
bd	01020:EY T IH D
aion	02010:EY SH AH N;20010:EY SH AH N
4na	010:EH N AH
5sitize	0102:AY Z
bd	0102:AY Z D
aing	01020:AY Z IH NG
4ret	201:EH T;201:EY
5t	10:EH Z ER T;01:ER T
6ed	010:ER T IH D
7r	100:EH Z ER T ER
8s	100:EH Z ER T ER Z
6ing	100:EH Z ER T IH NG
7on	010:ER SH AH N
9s	010:ER SH AH N Z
6s	10:EH Z ER T S;01:ER T S
5ve	01:ER V
7d	01:ER V D
8ly	0100:ER V AH D L IY
7s	01:ER V Z
6ing	010:ER V IH NG
3ha	10:EH SH AH
5ies	01:EY Z
5ne	10:EH SH AH N
5w	10:EH SH AO
5zer	100:EH SH AH Z ER
6o	010:AA Z OW
4ields	10:EH SH IY L D Z
4ler	10:EH SH L ER
4on	10:EH SH AH N
6g	10:EH SH AO NG
5tel	100:EH SH AH T AH L
8s	100:EH SH AH T AH L Z
3i	10:EH Z IY
4ccate	100:EH S AH K EY T
9d	1000:EH S AH K EY T AH D
9s	100:EH S AH K EY T S
8ion	2010:EY SH AH N
4derata	20010:AA T AH
7io	00100:EH R IY OW
4gn	01:AY N
6ate	102:EY T
9d	1020:EY T IH D
9s	102:EY T S
8ing	1020:EY T IH NG
9on	2010:EY SH AH N
bs	2010:EY SH AH N Z
6craft	012:AE F T
6ed	01:AY N D
7e	201:IY
8s	201:IY Z
7r	010:AY N ER
8's	010:AY N ER Z
8s	010:AY N ER Z
9'	010:AY N ER Z
6ing	010:AY N IH NG
6or	010:IH G N ER
6s	01:AY N Z
4lets	100:EH S IH L IH T S
5lers	010:IH L ER Z
5va	010:IY L V AH
4mone	0010:OW N IY
4o	100:IY S IY OW
4r	01:IH R
5ability	020100:IH L IH T IY
7le	0100:AY R AH B AH L;01000:AY ER AH B AH L
5e	010:AY ER
6d	010:AY ER D
6e	100:EH S AY R IY
6s	010:AY ER Z
5ing	0100:AY ER IH NG
5ous	010:AY R AH S
4st	01:IH S T
6o	010:IY S T OW
3jardin	100:EH S ZH AA R D AE N
9s	100:EH S ZH AA R D IH N Z
6lais	100:EH S ZH AA R L EY
3k	1:EH S K
4in	10:EH S K IH N
6s	10:EH S K IH N Z
4jet	12:EH T
4pro	12:OW
4s	1:EH S K S
4top	12:AA P
7s	12:AA P S
3latte	01:AE T
5uriers	1000:EH S L AO R IY ER Z
3ma	10:IY S M AH;10:EH Z M AH
5n	10:EH Z M AH N
5rais	100:EH Z M ER EY
4et	10:EH S M IH T
4ids	10:EH S M AH D Z
5th	10:EH S M IH TH
4ona	010:OW N AH
6d	10:EH Z M AH N D
5plasia	20120:IY AH
9tic	2010:AE S T IH K
3noyers	100:EH S N OY ER Z
3olate	100:EH S AH L AH T;100:EH Z AH L AH T;102:EY T
7ion	2010:EY SH AH N
4rmeaux	100:EH S ER M OW
4to	010:OW T OW
4usa	010:AW S AH;010:UW S AH
5za	010:UW Z AH
3pain	01:EY N
6r	01:EH R
7ed	01:EH R D
7ing	010:EH R IH NG
7s	01:EH R Z
4er	10:EH S P ER
6ado	2010:AA D OW
9es	2010:AA D OW Z
7te	10:EH S P R IH T;100:EH S P ER IH T
9ly	1000:EH S P ER AH T L IY;100:EH S P R AH T L IY
8ion	2010:EY SH AH N;2010:EY SH IH N
4icable	0100:IH K AH B AH L
5na's	100:EH S P IY N AH Z
5se	01:AY Z
7d	01:AY Z D
7s	010:AY Z IH Z
6ing	010:AY Z IH NG
5te	01:AY T
4ondency	0100:AA N D AH N S IY
9t	010:AA N D AH N T
5sito	0010:IY T OW
5t	10:EH S P AH T
6ic	010:AA T IH K
7sm	1020:IH Z AH M
4res	10:EH S P ER Z
3rochers	010:OW SH ER Z
8s	010:OW SH IH Z
5sier	0100:OW SH IY ER
9s	0100:OW SH IY ER Z;201:IH R Z
3sauer	01:AW R;12:AW R
4elle	01:EH L
5nt	01:EH N T
5rt	01:ER T
7s	01:ER T S
3t	1:EH S T
4abilization	020010:EY SH AH N
ae	0102:AY Z
bd	0102:AY Z D
aing	01020:AY Z IH NG
4ec	12:EH K
5fanis	0010:AA N IH S
8o	0010:AA N OW
4in	10:EH S T IH N
6ation	2010:EY SH AH N
bs	2010:EY SH AH N Z
6ed	10:EH S T IH N D
6ies	100:EH S T AH N IY Z
6y	100:EH S T AH N IY
5tute	102:UW T
8ion	1020:UW SH AH N
4roy	01:OY
7ed	01:OY D
8r	010:OY ER
9s	010:OY ER Z
7ing	010:OY IH NG
7s	01:OY Z
5uct	01:AH K T
8able	0100:AH K T AH B AH L
8ed	010:AH K T IH D
8ing	010:AH K T IH NG
9on	010:AH K SH AH N
9ve	010:AH K T IH V
bness	0100:AH K T IH V N IH S
8s	01:AH K T S
3ultory	1020:AO R IY
2tach	12:AE CH;01:AE CH
6able	0100:AE CH AH B AH L
6ed	01:AE CH T
7s	010:AE CH IH Z;010:AE CH AH Z
6ment	010:AE CH M AH N T
4il	01:EY L;10:IY T EY L
6ed	01:EY L D
7e	021:IY
7r	100:IY T EY L ER
6ing	010:EY L IH NG
6s	01:EY L Z;10:IY T EY L Z
5n	01:EY N
6ed	01:EY N D
7e	201:IY
8s	021:IY Z
6ing	010:EY N IH NG
4more	010:AA M AO R
4r	01:AA R;00:AA R
3ect	01:EH K T
6able	0100:EH K T AH B AH L
6ed	010:EH K T AH D;010:EH K T IH D
6ing	010:EH K T IH NG
7on	010:EH K SH AH N
7ve	010:EH K T IH V
9's	010:EH K T IH V Z
9s	010:EH K T IH V Z
6or	010:EH K T ER
8s	010:EH K T ER Z
6s	01:EH K T S
4mple	100:EH T IH M P AH L
4nte	01:AA N T
6ion	010:EH N SH AH N
9s	010:EH N SH AH N Z
4r	01:ER
5ding	100:EH T ER D IH NG
5gent	010:ER JH AH N T
9s	010:ER JH AH N T S
5iorate	01002:EY T
bd	010020:EY T IH D
bs	01002:EY T S
aing	010020:EY T IH NG
bon	010020:EY SH AH N
5man	100:IY T ER M AH N
6ent	010:ER M AH N T
6inable	01000:ER M AH N AH B AH L
9nt	0100:ER M AH N AH N T
bs	0100:ER M AH N AH N T S
9te	0102:EY T
aion	02010:EY SH AH N
d's	02010:EY SH AH N Z
ds	02010:EY SH AH N Z
bve	01002:IH V
8e	010:ER M AH N
9d	010:ER M AH N D
aly	01000:ER M AH N AH D L IY;0100:ER M AH N D L IY
9s	010:ER M AH N Z
8ing	0100:ER M AH N IH NG
9sm	01020:IH Z AH M
at	0100:ER M AH N AH S T
bic	02010:IH S T IH K
5red	01:ER D
7nce	010:ER AH N S
8t	010:ER R AH N T
9s	010:ER AH N T S
6ing	010:ER IH NG
5s	01:ER Z
5t	10:EH T ER T
4st	01:EH S T
6ed	010:EH S T IH D
3herage	100:EH DH ER IH JH
4lefs	10:EH TH L IH F S
8en	100:EH TH L IH F S AH N
5off	10:EH TH L AO F
4omas	010:OW M AH Z;010:AA M AH S
4rone	01:OW N
8d	01:OW N D
3ienne	100:EH T IY EH N
3jen	10:EH T JH AH N
3lefsen	100:EH T L IH F S AH N
4off	10:EH T L AO F
3mer	10:EH T M ER
3onate	102:EY T
8d	1020:EY T AH D
7ing	1020:EY T IH NG
8on	2010:EY SH AH N
